term,speech_part,meaning
attendant,n.,"ti tu-tulong, catulongan, babaonen"
attention,n.,panangicaso
attire,n.,"cawes, lupot"
attorney,n.,"abogado, mangilinteg"
attract,v.,awisen
attraction,n.,panangawis
attractive,n.,"maca ay-ayo, napintas, maca-awis"
audacious,adj.,"matured, malaing"
audience,n.,dum-dumngeg
aunt,n.,"tia, ikit"
author,n.,"akin-aramid, akin-gapauanan, mannurat"
authority,n.,"turay, pannacabalin"
authorize,v.,palubosan
aventure,n.,panagpadas
average,n.,"caduan, pagtengngaan"
avid,adj.,napasnec
avoid,v.,"liclican, lisian, adayuan"
await,v.,urayen
awake,adj.,"nacariing, siririing"
away,adv.,adayo
awe,n.,"siddaaw, buteng"
awhile,n.,"madama, bassit a canito, apag-canito"
awl,n.,paglussoc
awning,n.,pagaccub
ax,n.,wasay
baby,n.,"ubing, tagibi"
back,n.,"licud, bucot"
backward,adj.,"palicud, pasanud"
bacon,n.,"tosino, carne ti baboy a nailuto iti asuc"
bad,adj.,"dakes, di rumbeng"
badge,n.,"medalia, tanda, pag-ilasinan"
badly,adv.,"sidadakes, dakes unay"
baffle,v.,pag-siddaawen
bag,n.,"supot, maleta"
bagasse,n.,"nagpespesan nga unas, nangusan"
baggage,n.,gargaret nga itugot iti viaje
bail,n.,"fiansa, patalged ti maysa a banag"
bake,v.,lutuen iti urno
baker,n.,"panadero, agaramid itit tinapay"
bakery,n.,"panaderia, pagaramidan itit tinapay"
balance,v.,"pagtimbangen, panagpada"
ball,n.,"bola, pasala"
ballot,n.,balota
ballroom,n.,pagsalaan
bamboo,n.,cawayan
bank,n.,banco
banquet,n.,"banquete, padaya"
bargain,n.,tawar
bark,n.,"taol, ukis ti cayo"
barker,n.,"manangawis, agtaol"
barn,n.,camarin
barrel,n.,bariles
barren,adj.,"lupes, di maapitan, cadaratn, a cas Sahara"
barricade,n.,naisambot a linged ken saripda cadagiti cabusor
base,adj.,nababa
base,n.,pagbantayan
basement,n.,"siroc, baba"
basin,n.,palanggana
basket,n.,"curibot, labba, basket"
bat,n.,curarapnit pang-or
bath,n.,"digos, panagdigos"
bathroom,n.,pagdigusan a siled
battle,n.,"ranget, dangadang"
bawl,v.,bugtaken
bay,n.,baybay
be,v.,ag-(prefix)
beach,n.,igid ti taaw
beacon,n.,silaw
bead,n.,batic ti cuentas
beak,n.,sippit
beam,n.,"raniag, adigi, silnag"
bear,v.,"baclayen, ag-bunga"
beard,n.,barbas
beat,v.,"pang-oren, bauten"
beautiful,adj.,"napintas, nalapsat"
beauty,n.,"pintas, imnas"
because,conj.,"agsipud, gapu ta"
become,v.,agbalin
becoming,adj.,"pumimpintas, macaawis"
bed,n.,"cama, pangiddaan"
bedbug,n.,kiteb
bedroom,n.,pagturogan a siled; siled a pagiddaan
bee,n.,"alig, uyocan"
beef,n.,carne ti vaca
beefsteak,n.,iwa ti naingpas a carne ti vaca
beer,n.,cerveza
before,adv.,"sachay, casanguanan"
beg,v.,agdawat iti caasi
beggar,n.,"agpalpalimos, agpalpalama"
beggarliness,n.,panagpalpalama
begin,v.,irugi
beginner,n.,"agdadamo, mangrurugi"
beginning,n.,pangrugyan
behave,v.,"agaluad, agsingpet"
behavior,n.,tignay
behind,prep.,"licudan, naladaw"
behold,v.,kitaen
believable,adj.,nacappapati
believe,v.,patien
belif,n.,pammati
bell,n.,campana
belong,v.,"agcameng, tagicuaen"
beloved,n. & adj.,"ay-ayaten, caayan-ayat"
below,adv.,"siroc, iti baba, babaen"
belt,n.,barikes
bend,v.,"killuen, baccugen"
beneath,prep.,"iti siroc, iti baba"
benefit,n.,pagimbagan
bent,adj.,"nakillo, baccug"
beseech,v.,"makicacaasi, umasug"
beside,adv.,"sikigan, arpad"
besiege,v.,lacuben
besmear,v.,mulitan
bespeak,v.,palwagen maipapan
best,adj.,casayaatan
bestow,v.,"itden, ipaay, ited"
bet,n.,"pusta, intaya"
betray,v.,"liputan, ipalgac"
betrothal,n.,panangtungpal iti casar
better,adj.,nasaysayaat
between,prep.,"nagtengngaan, nagbaetan, baet"
beverage,n.,inumen
beware,v.,"agannad, agaluad"
beyond,prep.,labes
bible,n.,"Biblia, Nasantuan a Surat"
bicycle,n.,bicicleta
bid,n.,"tawar, panagtawar"
bidder,n.,"gumagatang, tumatawar"
bier,n.,lungon
big,adj.,dackel
bigwig,n.,"bacnang, nalaing"
bill,n.,listaan ti utang; ti maipaulog a linteg iti legislatura
billboard,n.,pagicaptan iti dua a bulan
bimonthly,n.,maminsan iti dua a bulan
bind,v.,"igalut, reppeten, patapatan"
bird,n.,"billit, tumatayab"
birth,n.,pannacayanac
birthday,n.,"aldaw ti pannacayanac, casangay"
biscuit,n.,biscuit
bishop,n.,obispo
bit,n.,"sangcabassit, cabassitan"
bite,n.,"sangcabassit, maysa a cagat"
bite,v.,"cagaten, cumagat"
bitter,adj. napait.,
black,adj.,nangisit
blackboard,n.,pisara
blackmail,v.,"butbutngen tapno agbayad iti pasukib, panagpadakes"
blacksmith,n.,pumapanday
bladder,n.,basisaw
blade,n.,"tadem, bulong"
blame,v.,pabasolen
blank,adj.,awanan iti surat
blanket,n.,ules
blasphemy,n.,"parbo, dakes, maisalungasing iti Dios"
blast,n.,"puloy ti angin, panagdadael"
blaze,n.,"gilayab, apuy"
bleach,v.,"paputawen, dalusan"
bleed,v.,"agdara, pagdaraen"
blemish,n.,"rugit, mulit"
blend,v.,pagtiponen
bless,v.,bendicionan
blessing,n.,bendicion
blight,n.,"panagmaga, pannacadadael"
blind,n.,"bulag, bulsec"
bliss,n.,"pagragsacan, ayat"
block,n.,lapdan
blockhead,n.,awanan iti sursuro
blood,n.,dara
bloody,adj.,nadara
bloom,v.,"panagsabong, agsabong"
blossom,n.,sabong
blot,n.,"rugit, mulit"
blouse,n.,bado
blow,n.,"puyot, panagpayugpog, danog"
blow-out,n.,panagbettac
blue,adj.,asul
bluff,n.,allilaw
blunt,adj.,nangudel
blush,v.,lumabbasit
board,n.,tabla
board,v.,"sumacay, agdagus"
boarding house,n.,balay a pagcaseraan
boast,v.,itangsit
boat,n.,"vapor, sasacayan"
body,v.,bagi
boil,n.,letteg
boil,v.,pagbureken
bold,adj.,natured
bolo,n.,buneng
bolt,v.,"ibacling, isagiped"
bomb,n.,bomba
bond,n.,"reppet, patalged, casuratan"
bondage,n.,"pannacatagabo, pannacaadipen"
bone,n.,tulang
book,n.,"libro, lista, pagbasaan"
bookkeeper,n.,mangtaming iti libro ti negocio
bootblack,n.,agdalos iti sapatos
border,n.,"irigid, nagbeddengan"
bore,v.,"singaen, lussoken"
borrow,v.,"bumulod, buloden"
bosom,n.,barucong
boss,n.,pangulo
both,pron.,isuda a dua
bother,v.,"ringgoren, alimutengen"
bothersome,adj.,"naringgor, naalimuteng"
bottle,n.,botella; frasquita
bottom,n.,"tucot, lansad"
bough,n.,sanga ti cayo
bought,v.,ginatang
boulder,n.,dadackel a batbato
boundary,n.,"pagbeddengan, nagbaetan"
bounty,n.,naubon a sabsabong
bow,n.,"bai ti pana, udaod ti violin"
bow,v.,"panagtung-ed, rucnoy"
bowl,n.,malucong
box,n.,cajon
box,v.,"danugen, buntalen"
boy,n.,"ubing a lalaki, babaonen a lalaki"
boyish,adj.,inuubing
bracelet,n.,pulseras
braid,n.,sallapid
brain,n.,utec
brdiesmaid,n.,cadua ti agcasar a babai
breezy,adj.,naangin
brethren,n.,cabsat
bribe,n.,"saborno, pasukib"
bribe,v.,"sabornuan, pasukiban"
bribery,n.,"pangsaborno, panagpasukib"
brick,n.,"baldosa, ladrillo"
bride,n.,"novia, caayan-ayat a babai"
bridegroom,n.,"novio, caayan-ayat a lalaki"
bridge,n.,rangtay
bridle,n.,bosal
bridle,v.,"isardeng, abugen, bosalan"
brief,adj.,abada
brigade,n.,"buyot, soldado nga adu"
brigand,n.,"bircog, tulisan"
bright,adj.,"nalawag, naraniag, nalaing"
brightren,v.,"lawagen, lawagan"
brilliant,adj.,"nasileng, nalaing"
bring,v.,"alaen, icuyog, itugot"
brink,n.,"igid, derraas"
brisk,adj.,"nasiglat, napartac"
brittle,adj.,"nalaca a madadael, narasi"
broad,adj.,nalawa
broadast,v.,"iwarnac, iwaragawag"
broil,v.,"ituno, iluto"
broke,adj.,awanan iti cuarta
brood,n.,dagiti taraken
brook,n.,waig
broom,n.,"caycay, sagad"
broth,n.,digo
brother,n.,cabsat a lalaki
brother-in-law,n.,"bayaw, cayong"
brotherhood,n.,"panagcacabsat, timpuyog"
brow,n.,kiday
brown,adj.,cayumanggi
bruise,n.,sugat
brush,n.,"escoba, gisigis"
brush,v.,dalusan
brusque,adj.,"natangsit, aagubsang"
bubble,n.,"burec, labutab"
bucket,n.,timba balde
bud,n.,"busel, panangrugi"
buddy,n.,"gayyem, cadua"
budget,n.,"ti gastosen iti masapulan, presupuesto"
buggy,n.,"calesa, caretala"
bugle,n.,trumpeta
build,v.,"mangipatacder, mangaramid"
builder,n.,"nagaramid, nagpatacder"
building,n.,"balay, camarin"
bulb,n.,bombilla
bulk,n.,"cadackel, caadu, capuscol"
bulky,adj.,"dackel, adu, napuscol"
bull,n.,"toyo, a lalaki a vaca"
bulldoze,v.,"butbutngen, rimbawan"
bullet,n.,bala
bulletin,n.,pacdaar ti agturay
bump,n.,dugol
bump,v.,agtim-og
bunch,n.,bulig
bundle,v.,maysa a reppet sangcareppet
bungle,n.,"culcolen, pagriruen"
burden,n.,"awit, baclay"
burdensome,adj.,macapadagsen
bureau,n.,"buro, asmangti cajon ayan ti lupt"
burglar,n.,agtacaw
burglarize,v.,tacawan
burial,n.,"pumpon, panangitanem"
burn,v.,"puoran, uramen"
burst,v.,"bumtac, aggil-ayab"
bury,v.,"icali, ipumpon"
bush,n.,babassit a mulmula
business,n.,"negocio, trabajo, pagsapulan"
busy,adj.,addaan iti aramid
but,conj.,ngem
butcher,n.,agparparti
butler,n.,"mayordomo, agbambantay"
butter,n.,mantiquilla
butterfly,n.,culibangbang
button,n.,butones
button,v.,"ibutones, iserra"
buy,v.,gumatang
buyer,n.,"gumagatang, aggatang"
by,prep.,"iti abay, denna, asideg"
by-law,n.,pagalagadan linteg
bygone,n.,"nalpasen, naaramiden, aramid a nalpasen"
bystander,n.,"agbuybuya, nacakita, sacsi, awanan iti trabajo"
cab,n.,auto
cabaret,n.,"cabaret, pagsalaan"
cabbage,n.,repollo
cabin,n.,"calapaw, siled iti uneg ti vapor"
cabinet,n.,"gabinete, pagsuratan a lamisaan"
cable,n.,"tali, cawar"
cad,n.,"darasudos, dursoc"
cafeteria,n.,"cafeteria, paginuman iti cafe"
cahapel,n.,bassit a simbaan
cake,n.,"bibingca, cancanen"
calamity,n.,"dakes a tiempo, didigra"
calendar,n.,calendario
calf,n.,urbon ti vaca
call,n.,ayab
call,v.,"ayaban, surung-caran"
calm,v.,"natalna, naulimec"
calumny,n.,panangpadakes
camera,n.,"camera, pangala iti ladawan"
camp,n.,"campo, paginanaan"
campaign,n.,"campaña, tignay ti buyot, aramid nga adda panggepna"
can,n.,lata
can,v.,mabalin
canal,n.,"canal, pagayusan ti danum"
cancel,v.,"buraen, iccaten"
candid,adj.,"apagisu, rumbeng, nabatad"
candidate,v.,"candidato, agngayangay"
candle,n.,candela
candlelight,n.,silaw ti candela
candy,n.,sinam-it
cane,n.,"baston, sarucod"
canner,n.,agilata
cannibal,n.,agsidsida iti tao
cannon,n.,cañon
cannot,v.,saan a mabalin
canoe,n.,maysa akita ti bangca
canteen,n.,"cafeteria, canteen, panganan"
canter,v.,nainayad a taray
canvas,n.,lona
canvass,v.,"kiddawen ken urnongen, a cas tulong wenno votos"
cap,n.,"callugong, gorra"
capable,dj.,"macabael, addaan iti cabaelan"
capacity,n.,cabaelan nga awiten
cape,n.,ungto ti daga a naiturong iti baybay
capital,n.,"naipadackel a letra, puonan, cabecera"
capitalize,v.,"pangrugyan, puonan"
capitulate,v.,sumuco
captive,v.,balud
captivity,n.,"pannacaibalud, panacatiliw"
capture,v.,"tiliwen, kemmegen"
car,n.,"auto, pagluganan"
caravan,n.,agcucuyog nga agbanniaga wenno lumasat iti nawatiwat a tanap
carbarn,n.,"camarin dagiti auto, estacion"
card,n.,"carton, nipis"
career,n.,"carera, tarigagay"
careful,adj.,"naalluad, naannad"
careless,adj.,"nadawel, saan a naalluad"
carelessness,n.,awanan iti alluad
caress,n.,"lailo, panagayat"
carfare,n.,"pagbayad iti panaglugan, flete"
cargo,n.,"cargada, cargamento"
carpenter,n.,"allawagi, carpentero"
carpet,n.,"alfombra, pangabbong iti datar"
carriage,n.,"caruaje, pagluganan"
carrier,n.,"cargador, agamamit"
carry,v.,"amiten, baclayen"
cart,n.,"carreton, calesa"
cartoon,n.,"carton, ladawan"
carve,v.,ikitikit
case,n.,"banag, pagsasaritaan, cajon"
cash,n.,cuarta
cashier,n.,"cajero, cajera, agbambantay iti pirac"
cassava,n.,camoteng cahoy
cast,n.,agparang iti pabuya
cast,v.,"ipurwac, iwalin"
casual,adj.,"manmano, saan a patinayon"
casualty,n.,"natay, nadangran"
catalog,n.,"catalogo, pacakitaan"
catarrh,n.,nadagsen a panateng
catch,n.,natiliw
catch,v.,"tiliwen, sippawen"
caterpillar,n.,dackel nga igges
cathedral,n.,"catedral, dackel a simbaan"
cattle,n.,vaca
caucus,n.,"taripnong, puroc"
cauldron,n.,"caldero, paglutuan"
cause,n.,gapu
cautious,adj.,"naalluad, nainayad"
cavalcade,n.,libut dagiti sicacaballo
cave,n.,"cueva, rukib"
cavernous,adj.,addaan iti rukib
cease,v.,"agsardeng, aginana"
ceaselesss,adj.,"canayon, di agsarday"
ceiling,adj.,cangatuan
ceiling,n.,"bodivida, ngato"
celebrate,v.,"rambacan, dayawen"
celebration,n.,"panangrambac, panangdayaw"
celebrity,n.,"nalatac, maingel"
celery,n.,maysa a kita ti nateng
cell,n.,siled
cellar,n.,"bodega, paset ti balay iti uneg ti daga"
cemetery,n.,"camposanto, pagipumponan"
censorious,adj.,managdillaw
census,n.,"census, bilang ti agnanae iti ili"
centennial,n.,maicasangagasut a taen
center,n.,"centro, tengnga"
centerpiece,n.,cateng-
centipede,n.,gayaman
central,adj.,catengngaan
century,n.,sangagasut a tawen
cereal,"n. bunga, a cas bunga ti pagay, trigo, etc.",
ceremonious,adj.,"nangangayed, magaraem"
ceremony,n.,"ceremonia, panangrambac"
certain,adj.,napudno
certainly,adv.,"sipupudno, agpayso"
certificate,n.,"calagdaan, certifico"
certify,v.,pamamalagda
chagrin,n.,ducot
chain,n.,"cawar, cadena"
chain,v.,"icawas, icadena"
chair,n.,"pagtugawan, tugaw, palangca"
chairman,n.,"pangula, agar-aramid iti tugaw"
chalk,n.,tisa
challenge,n.,carit
chamber,n.,"siled, cuarto"
chameleon,n.,maysa a kita ti alutiit nga agbaliw ti marisna
champion,n.,"campeon, nangabac"
chance,n.,gasat
change,n.,"supli, ibabaro, panagbaliw"
change,v.,baliwan
channel,n.,"canal, pagayusan ti danum"
chant,n.,"canta, panagcanta, ayug"
chaperon,n.,cacuyog ti babai iti gimong
chapter,n.,"capitulo, paset"
character,n.,"cababalin, kitana a tao"
charge,n.,bayad
charge,v.,"singiren, pagbayaden"
chargeable,adj.,"mabalin a pagbayaden, mabalin a singiren"
chariot,n.,"pagluganan, caruaje"
charity,n.,"asi, panangngaasi"
charm,n.,cayaw
charm,v.,cayawan
charter,n.,"documento ti linteg, pammalubos"
chase,n.,"panangcamat, panangtiliw"
chase,v.,"camaten, tiliwen"
chastity,n.,kinadalus
chauffer,n.,"chofer, agmanmanejo iti auto"
cheap,adj.,"nalaca, anbaba ti pategna"
cheat,v.,"cusiten, allilawen"
check,n.,"cheque, marca"
check,v.,"kitaen, pagsardengen"
checker,n.,"guardia, agkitkita"
cheek,n.,ping-ping
cheer,n.,"ragsac, liliwa"
cheerless,adj.,"naliday, awanan iti ragsec, naladingit"
cheese,n.,quiso
chemise,n.,camison
chemist,n.,quimico
chemistry,n.,quimica
cherrful,adj.,"maragasak, macaliwliwa"
chest,n.,"barucong, lacasa"
chew,v.,ngalngalen
chicken,n.,manoc
chicken flea,n.,ulmog
chicken-hearted,adj.,"tacrot, nacapuy a pikanakem"
chief clerk,n.,pangulo nga escribiente
child,n.,ubing
childbirth,n.,pannacayanac
childhood,n.,panawen ti panagubing
childless,adj.,awanan iti anac
children,n.,ubing
chill,n.,"lamec, lamiis"
chime,"n. timec, a cas uni ti campana, batingting, etc.",
chin,n.,timid
chisel,n.,paet
choice,n.,"pili, cayat"
choir,n.,coro dagiti agcancanta
choke,v.,"beckelen, pasardengen"
choose,v.,pilien
choosy,adj.,managpili
chop,v.,"gupongen, tadtaden, pisien"
christ,n.,"Cristo, Jesu-Cristo"
christian,n.,Critiano
christmas,n.,Pascua
church,n.,"simbaan, iglesia"
circle,n.,"nagbungkel, sociedad"
circular,n.,"nagtimbukel, surat"
circumstances,n.,"casasaad, pasamac"
citizen,n.,umili
citizenship,n.,pannakipagili
city,n.,ciudad
civic,adj.,maipanggep iti ili
civil,adj.,nadayaw
civilize,v.,sursuruan
claim,n.,tunton
claim,v.,tuntonen
clam,n.,"cappo, maysa cadagiti aramaten ti carpentero a pagipit"
clammy,adj.,"napigket, nalamilis"
clap,n.,"sipat, panagsipat"
clasp,v.,"petpetan, pananggigem"
class,n.,"kita, clas"
classic,adj. manmano.,gapuanan nga addan iti agnanayon a pateg
classification,n.,"panaglalasin, dasig"
clatter,n.,"tagari, timec, uni"
clause,n.,"canayonan ti sentencia (sentencia in grammar) nga addaan ti masasao, (naganken aramid)"
claw,n.,"cuco, a cas cuco ti cali"
clean,adj.,nadalus
clean,v.,dalusan
clean,v.,"urnongen, ampaten"
cleaner,n.,agdaldalus
clear,adj.,"naraniag, nalawag"
clearance,n.,"pannacadalus, pananglawag"
clemency,n.,pammacawan
clerk,n.,escribiente
clever,adj.,"masirib, nasaririt"
click,n.,canacaliing
cliff,n.,"rangkis, natangken ken rusod a derraas ti bantay"
climate,n.,"clima, tiempo, tawen"
climax,n.,paset a macapicapic
climb,v.,"umuli, ngumato"
clinch,n.,"panangreppet, panagngariet, ti panangpetpet"
cling,v.,"cumpet, agbati"
clinic,n.,"clinica, pangagasan"
cloak,n.,"cagay, pagcagay"
clock,,n reloj
clog,v.,panagtangken
close,v.,"irikep, ricpan, serraan"
close-up,n.,ladawan a naala iti asideg
closet,n.,bassit a siled
cloth,n.,luplupot
clothe,v.,"baduan, lupotan"
clothesline,n.,pagbalaybayan iti lupot
clothing,n.,"badbado, vestido, cawes"
cloud,n.,ulep
cloudy,adj.,naulep
clown,n.,"mangrabrabac, managpacatawa"
club,n.,"pang-or, club, wenno timpuyog"
clue,n.,"pagilasinan, tanda"
cluster,n.,"bulig, punggos"
clutch,v.,iggaman
coach,n.,"auto, manarabay, mannursuro"
coachman,n.,coachero
coalition,n.,"panagmaymaysa, panagtitimpuyog"
coarseness,n.,"kinagaspang, kinadackel"
coast,n.,igid ti baybay
coat,n.,Americcaan
cock,n.,cawitan
cockeyed,adj.,pangkis
cockpit,n.,"bulangan, gallera"
cockroach,n.,"sipet, ipes"
cod,n.,bacalaw
coercion,n.,"panangpilit, panangbuteng"
coin,n.,"cuarta, pirac"
coinage,n.,pangaramid iti cuarta
cold,adj.,"malamiis, nalam-ec"
collapse,v.,"marpuog, margaay"
collar,n.,tengnged
collect,v.,"tiponen, singiren"
collection,n.,"dagup, nasingiran"
collector,n.,"mangumeng, agsingsingir"
college,n.,colegio
collision,,n panagdungpar
color,n.,maris
column,n.,"binatog, adigi"
comb,n.,sagaysay
combat,n.,"ranget, dangadang"
combat,v.,"apaen, susiken rangeten"
combination,n.,"panagtitipon, panaglalaoc ti nadumaduma a banag"
combine,v.,"pagmaymaysaen, pagtiponen"
